month,avg_revenue,avg_margin_pct,seasonality_idx
5,203837906.834,0.19873712093294463,1.5504219876295156
4,195988556.463,0.15288795056916685,1.4907186400391332
6,192813259.568,0.16017408472366026,1.4665668510037946
3,152773749.668,0.14142081815446955,1.1620202753100777
7,143182618.9690909,0.09858330244663406,1.0890686827786302
8,137676998.19000003,-0.048633855018979384,1.047192097387651
9,113934768.04727273,0.10782731713088113,0.8666050995108424
10,102384481.79636364,0.1945453885401984,0.7787518731656172
2,98158581.944,0.18888017040654886,0.7466090389382201
1,80325792.741,0.18861361878816135,0.6109701437468095
11,78338850.44545454,0.1337704317049435,0.5958571597537315
12,78254838.31090909,0.023964944514983277,0.595218150735978
